,model_name,mission_name,mode,gamma,delta,threshold,bl_type,z_score,sum
265,llama2-7b-chat-4k,konwledge_memorization,gpt,0.75,5.0,6.0,None,0.5997254454598224,200
322,llama2-7b-chat-4k,hotpotqa,old,0.5,5.0,6.0,soft,0.60849928855896,200
253,llama2-7b-chat-4k,konwledge_memorization,new,0.5,5.0,6.0,None,0.615368664264679,200
219,llama2-7b-chat-4k,konwledge_memorization,v2,0.5,2.0,6.0,None,0.6866400241851807,200
115,llama2-7b-chat-4k,konwledge_memorization,v2,0.9,5.0,6.0,None,0.7729623913764954,200
90,llama2-7b-chat-4k,hotpotqa,v2,0.1,5.0,6.0,None,0.7832003831863403,200
38,llama2-7b-chat-4k,konwledge_memorization,v2,0.25,2.0,6.0,None,0.7916842699050903,200
120,llama2-7b-chat-4k,konwledge_memorization,old,0.5,2.0,6.0,soft,0.7919960021972656,200
301,llama2-7b-chat-4k,konwledge_memorization,old,0.75,5.0,6.0,soft,0.8555396199226379,200
291,llama2-7b-chat-4k,hotpotqa,v2,0.25,5.0,6.0,None,0.8648141622543335,200
175,llama2-7b-chat-4k,hotpotqa,v2,0.5,5.0,6.0,None,0.8698217272758484,200
137,llama2-7b-chat-4k,lcc,gpt,0.9,5.0,6.0,None,0.8974411713022371,200
185,llama2-7b-chat-4k,konwledge_understanding,gpt,0.25,5.0,6.0,None,0.9333633730640085,200
261,llama2-7b-chat-4k,konwledge_understanding,no,0.5,5.0,6.0,None,0.9508524537086487,200
41,llama2-7b-chat-4k,qmsum,v2,0.25,2.0,6.0,None,0.953419029712677,200
130,llama2-7b-chat-4k,qmsum,gpt,0.5,2.0,6.0,None,0.9594940548873248,200
180,llama2-7b-chat-4k,hotpotqa,gpt,0.25,5.0,6.0,None,0.981732969075054,200
133,llama2-7b-chat-4k,multi_news,gpt,0.5,2.0,6.0,None,1.0051165607058592,200
119,llama2-7b-chat-4k,konwledge_understanding,old,0.5,2.0,6.0,soft,1.0122910737991333,200
34,llama2-7b-chat-4k,hotpotqa,old,0.75,5.0,6.0,hard,1.053200125694275,200
320,llama2-7b-chat-4k,konwledge_understanding,old,0.5,5.0,6.0,soft,1.0648859739303589,200
208,llama2-7b-chat-4k,konwledge_memorization,v2,0.75,5.0,6.0,None,1.0763657093048096,200
257,llama2-7b-chat-4k,longform_qa,no,0.5,5.0,6.0,None,1.0931628942489624,200
70,llama2-7b-chat-4k,konwledge_memorization,gpt,0.5,5.0,6.0,None,1.0950963586389144,200
122,llama2-7b-chat-4k,lcc,old,0.5,2.0,6.0,soft,1.1379199028015137,200
296,llama2-7b-chat-4k,konwledge_understanding,v2,0.25,5.0,6.0,None,1.1506215333938599,200
160,llama2-7b-chat-4k,konwledge_memorization,old,0.9,5.0,6.0,hard,1.1550567150115967,200
327,llama2-7b-chat-4k,hotpotqa,old,0.25,5.0,6.0,soft,1.2419556379318237,200
236,llama2-7b-chat-4k,lcc,old,0.9,5.0,6.0,soft,1.2740118503570557,200
127,llama2-7b-chat-4k,alpacafarm,gpt,0.5,2.0,6.0,None,1.3218726512232293,805
220,llama2-7b-chat-4k,qmsum,v2,0.5,2.0,6.0,None,1.3771816492080688,200
110,llama2-7b-chat-4k,lcc,v2,0.9,5.0,6.0,None,1.3880133628845215,200
42,llama2-7b-chat-4k,lcc,v2,0.25,2.0,6.0,None,1.3891513347625732,200
40,llama2-7b-chat-4k,multi_news,v2,0.25,2.0,6.0,None,1.474605917930603,200
109,llama2-7b-chat-4k,qmsum,v2,0.9,5.0,6.0,None,1.516044020652771,200
178,llama2-7b-chat-4k,konwledge_memorization,v2,0.5,5.0,6.0,None,1.521947979927063,200
136,llama2-7b-chat-4k,qmsum,gpt,0.9,5.0,6.0,None,1.5338465387889473,200
126,llama2-7b-chat-4k,finance_qa,gpt,0.5,2.0,6.0,None,1.5798119918001614,200
235,llama2-7b-chat-4k,qmsum,old,0.9,5.0,6.0,soft,1.614492654800415,200
141,llama2-7b-chat-4k,alpacafarm,gpt,0.9,5.0,6.0,None,1.629117988278778,805
72,llama2-7b-chat-4k,hotpotqa,old,0.1,5.0,6.0,soft,1.6383498907089233,200
269,llama2-7b-chat-4k,lcc,gpt,0.75,5.0,6.0,None,1.6524686629609158,200
181,llama2-7b-chat-4k,konwledge_memorization,gpt,0.25,5.0,6.0,None,1.6843113977223476,200
124,llama2-7b-chat-4k,multi_news,old,0.5,2.0,6.0,soft,1.7676314115524292,200
132,llama2-7b-chat-4k,longform_qa,gpt,0.5,2.0,6.0,None,1.8586682963154257,200
140,llama2-7b-chat-4k,multi_news,gpt,0.9,5.0,6.0,None,1.886079251712953,200
245,llama2-7b-chat-4k,konwledge_understanding,old,0.5,5.0,6.0,hard,1.9274048805236816,200
47,llama2-7b-chat-4k,konwledge_understanding,old,0.5,2.0,6.0,hard,1.9274048805236816,200
292,llama2-7b-chat-4k,konwledge_memorization,v2,0.25,5.0,6.0,None,1.9442707300186157,200
97,llama2-7b-chat-4k,konwledge_understanding,v2,0.1,5.0,6.0,None,1.9477026462554932,200
121,llama2-7b-chat-4k,qmsum,old,0.5,2.0,6.0,soft,1.9731018543243408,200
325,llama2-7b-chat-4k,konwledge_memorization,old,0.5,5.0,6.0,soft,2.0050861835479736,200
332,llama2-7b-chat-4k,konwledge_understanding,old,0.25,5.0,6.0,soft,2.0253984928131104,200
162,llama2-7b-chat-4k,hotpotqa,gpt,0.1,5.0,6.0,None,2.056096598012519,200
155,llama2-7b-chat-4k,lcc,old,0.9,5.0,6.0,hard,2.0837066173553467,200
240,llama2-7b-chat-4k,alpacafarm,old,0.9,5.0,6.0,soft,2.0947256088256836,805
217,llama2-7b-chat-4k,alpacafarm,v2,0.5,2.0,6.0,None,2.1190879344940186,805
114,llama2-7b-chat-4k,alpacafarm,v2,0.9,5.0,6.0,None,2.1852128505706787,805
239,llama2-7b-chat-4k,multi_news,old,0.9,5.0,6.0,soft,2.1979050636291504,200
7,llama2-7b-chat-4k,konwledge_understanding,gpt,0.25,10.0,6.0,None,2.2387391944605186,200
234,llama2-7b-chat-4k,finance_qa,old,0.9,5.0,6.0,soft,2.244365930557251,200
169,llama2-7b-chat-4k,konwledge_understanding,gpt,0.1,5.0,6.0,None,2.305577785982826,200
222,llama2-7b-chat-4k,longform_qa,v2,0.5,2.0,6.0,None,2.3108229637145996,200
37,llama2-7b-chat-4k,alpacafarm,v2,0.25,2.0,6.0,None,2.3187172412872314,805
95,llama2-7b-chat-4k,konwledge_memorization,v2,0.1,5.0,6.0,None,2.326035976409912,200
209,llama2-7b-chat-4k,qmsum,v2,0.75,5.0,6.0,None,2.3554368019104004,200
216,llama2-7b-chat-4k,finance_qa,v2,0.5,2.0,6.0,None,2.3779921531677246,200
167,llama2-7b-chat-4k,konwledge_memorization,gpt,0.1,5.0,6.0,None,2.394364573046904,200
79,llama2-7b-chat-4k,konwledge_understanding,old,0.1,5.0,6.0,soft,2.4286186695098877,200
111,llama2-7b-chat-4k,longform_qa,v2,0.9,5.0,6.0,None,2.437795400619507,200
328,llama2-7b-chat-4k,konwledge_memorization,old,0.25,5.0,6.0,soft,2.455343723297119,200
266,llama2-7b-chat-4k,qmsum,gpt,0.75,5.0,6.0,None,2.483549496668747,200
113,llama2-7b-chat-4k,multi_news,v2,0.9,5.0,6.0,None,2.5269734859466553,200
247,llama2-7b-chat-4k,hotpotqa,old,0.5,5.0,6.0,hard,2.5710630416870117,200
53,llama2-7b-chat-4k,hotpotqa,old,0.5,2.0,6.0,hard,2.5710630416870117,200
118,llama2-7b-chat-4k,alpacafarm,old,0.5,2.0,6.0,soft,2.576695442199707,805
108,llama2-7b-chat-4k,finance_qa,v2,0.9,5.0,6.0,None,2.5919735431671143,200
212,llama2-7b-chat-4k,lcc,v2,0.75,5.0,6.0,None,2.6052234172821045,200
88,llama2-7b-chat-4k,konwledge_understanding,v2,0.25,10.0,6.0,None,2.6326804161071777,200
28,llama2-7b-chat-4k,konwledge_memorization,old,0.75,5.0,6.0,hard,2.6415560245513916,200
77,llama2-7b-chat-4k,konwledge_memorization,old,0.1,5.0,6.0,soft,2.647141218185425,200
223,llama2-7b-chat-4k,multi_news,v2,0.5,2.0,6.0,None,2.6704649925231934,200
135,llama2-7b-chat-4k,finance_qa,gpt,0.9,5.0,6.0,None,2.67673212957864,200
2,llama2-7b-chat-4k,hotpotqa,gpt,0.25,10.0,6.0,None,2.7402591739397035,200
221,llama2-7b-chat-4k,lcc,v2,0.5,2.0,6.0,None,2.7984585762023926,200
305,llama2-7b-chat-4k,lcc,old,0.75,5.0,6.0,soft,2.8313567638397217,200
154,llama2-7b-chat-4k,qmsum,old,0.9,5.0,6.0,hard,2.8438100814819336,200
36,llama2-7b-chat-4k,finance_qa,v2,0.25,2.0,6.0,None,2.9387011528015137,200
117,llama2-7b-chat-4k,finance_qa,old,0.5,2.0,6.0,soft,2.9870026111602783,200
302,llama2-7b-chat-4k,qmsum,old,0.75,5.0,6.0,soft,2.995415449142456,200
151,llama2-7b-chat-4k,hotpotqa,old,0.25,2.0,6.0,soft,3.104491949081421,200
44,llama2-7b-chat-4k,longform_qa,v2,0.25,2.0,6.0,None,3.2772769927978516,200
272,llama2-7b-chat-4k,multi_news,gpt,0.75,5.0,6.0,None,3.325630296246245,200
237,llama2-7b-chat-4k,longform_qa,old,0.9,5.0,6.0,soft,3.382498264312744,200
64,llama2-7b-chat-4k,lcc,gpt,0.5,5.0,6.0,None,3.3913742897178007,200
71,llama2-7b-chat-4k,qmsum,gpt,0.5,5.0,6.0,None,3.4209329143509466,200
196,llama2-7b-chat-4k,konwledge_understanding,gpt,0.25,15.0,6.0,None,3.4513708207513316,200
147,llama2-7b-chat-4k,konwledge_understanding,old,0.25,2.0,6.0,soft,3.462890386581421,200
264,llama2-7b-chat-4k,alpacafarm,gpt,0.75,5.0,6.0,None,3.484795466757069,805
207,llama2-7b-chat-4k,alpacafarm,v2,0.75,5.0,6.0,None,3.4865288734436035,805
200,llama2-7b-chat-4k,konwledge_understanding,v2,0.1,10.0,6.0,None,3.5848803520202637,200
138,llama2-7b-chat-4k,longform_qa,gpt,0.9,5.0,6.0,None,3.6126751459692157,200
319,llama2-7b-chat-4k,lcc,old,0.5,5.0,6.0,soft,3.6564180850982666,200
308,llama2-7b-chat-4k,multi_news,old,0.75,5.0,6.0,soft,3.738079309463501,200
347,llama2-7b-chat-4k,hotpotqa,old,0.25,10.0,6.0,soft,3.764876127243042,200
215,llama2-7b-chat-4k,multi_news,v2,0.75,5.0,6.0,None,3.797243356704712,200
32,llama2-7b-chat-4k,lcc,old,0.75,5.0,6.0,hard,3.8646132946014404,200
202,llama2-7b-chat-4k,hotpotqa,v2,0.1,10.0,6.0,None,3.890221357345581,200
300,llama2-7b-chat-4k,alpacafarm,old,0.75,5.0,6.0,soft,3.9229400157928467,805
210,llama2-7b-chat-4k,finance_qa,v2,0.75,5.0,6.0,None,4.116190433502197,200
83,llama2-7b-chat-4k,hotpotqa,v2,0.25,10.0,6.0,None,4.211986541748047,200
326,llama2-7b-chat-4k,qmsum,old,0.5,5.0,6.0,soft,4.2832818031311035,200
267,llama2-7b-chat-4k,finance_qa,gpt,0.75,5.0,6.0,None,4.321653859853069,200
184,llama2-7b-chat-4k,qmsum,gpt,0.25,5.0,6.0,None,4.369580550304089,200
123,llama2-7b-chat-4k,longform_qa,old,0.5,2.0,6.0,soft,4.37849235534668,200
352,llama2-7b-chat-4k,konwledge_understanding,old,0.25,10.0,6.0,soft,4.382536888122559,200
190,llama2-7b-chat-4k,hotpotqa,gpt,0.25,15.0,6.0,None,4.394436312513923,199
303,llama2-7b-chat-4k,finance_qa,old,0.75,5.0,6.0,soft,4.471699237823486,200
172,llama2-7b-chat-4k,lcc,v2,0.5,5.0,6.0,None,4.518319606781006,200
179,llama2-7b-chat-4k,qmsum,v2,0.5,5.0,6.0,None,4.650160312652588,200
270,llama2-7b-chat-4k,longform_qa,gpt,0.75,5.0,6.0,None,4.758594794206703,200
159,llama2-7b-chat-4k,alpacafarm,old,0.9,5.0,6.0,hard,4.780810832977295,805
252,llama2-7b-chat-4k,longform_qa,new,0.5,5.0,6.0,None,4.809905052185059,200
29,llama2-7b-chat-4k,qmsum,old,0.75,5.0,6.0,hard,4.840823650360107,200
213,llama2-7b-chat-4k,longform_qa,v2,0.75,5.0,6.0,None,4.900869846343994,200
343,llama2-7b-chat-4k,konwledge_understanding,v2,0.25,15.0,6.0,None,5.017445087432861,200
63,llama2-7b-chat-4k,multi_news,gpt,0.5,5.0,6.0,None,5.061847113137106,200
250,llama2-7b-chat-4k,konwledge_memorization,old,0.5,5.0,6.0,hard,5.081902027130127,200
48,llama2-7b-chat-4k,konwledge_memorization,old,0.5,2.0,6.0,hard,5.081902027130127,200
158,llama2-7b-chat-4k,multi_news,old,0.9,5.0,6.0,hard,5.138169765472412,200
153,llama2-7b-chat-4k,finance_qa,old,0.9,5.0,6.0,hard,5.488094329833984,200
106,llama2-7b-chat-4k,konwledge_understanding,old,0.25,10.0,6.0,hard,5.568980693817139,200
59,llama2-7b-chat-4k,konwledge_understanding,old,0.25,5.0,6.0,hard,5.568980693817139,200
156,llama2-7b-chat-4k,longform_qa,old,0.9,5.0,6.0,hard,5.5712809562683105,200
285,llama2-7b-chat-4k,konwledge_understanding,old,0.25,2.0,6.0,hard,5.6111907958984375,200
232,llama2-7b-chat-4k,konwledge_understanding,old,0.25,15.0,6.0,soft,5.666150093078613,200
295,llama2-7b-chat-4k,qmsum,v2,0.25,5.0,6.0,None,5.699368476867676,200
318,llama2-7b-chat-4k,multi_news,old,0.5,5.0,6.0,soft,5.776984691619873,200
68,llama2-7b-chat-4k,alpacafarm,gpt,0.5,5.0,6.0,None,5.867807423921913,805
306,llama2-7b-chat-4k,longform_qa,old,0.75,5.0,6.0,soft,5.947420597076416,200
98,llama2-7b-chat-4k,qmsum,v2,0.1,5.0,6.0,None,5.947717666625977,200
25,llama2-7b-chat-4k,konwledge_understanding,old,0.25,15.0,6.0,hard,5.973862171173096,200
186,llama2-7b-chat-4k,lcc,gpt,0.25,5.0,6.0,None,6.015199917848306,198
333,llama2-7b-chat-4k,lcc,old,0.25,5.0,6.0,soft,6.130328178405762,200
358,llama2-7b-chat-4k,hotpotqa,old,0.1,10.0,6.0,soft,6.149753570556641,200
8,llama2-7b-chat-4k,konwledge_memorization,gpt,0.25,10.0,6.0,None,6.2646707545012275,200
66,llama2-7b-chat-4k,finance_qa,gpt,0.5,5.0,6.0,None,6.390291494296849,200
337,llama2-7b-chat-4k,hotpotqa,v2,0.25,15.0,6.0,None,6.428493022918701,199
146,llama2-7b-chat-4k,konwledge_memorization,old,0.25,2.0,6.0,soft,6.452091693878174,200
323,llama2-7b-chat-4k,alpacafarm,old,0.5,5.0,6.0,soft,6.4764323234558105,805
101,llama2-7b-chat-4k,hotpotqa,old,0.25,10.0,6.0,hard,6.554654598236084,200
54,llama2-7b-chat-4k,hotpotqa,old,0.25,5.0,6.0,hard,6.554654598236084,200
176,llama2-7b-chat-4k,alpacafarm,v2,0.5,5.0,6.0,None,6.607273101806641,805
297,llama2-7b-chat-4k,lcc,v2,0.25,5.0,6.0,None,6.661891937255859,200
226,llama2-7b-chat-4k,hotpotqa,old,0.25,15.0,6.0,soft,6.6622724533081055,200
289,llama2-7b-chat-4k,hotpotqa,old,0.25,2.0,6.0,hard,6.691342353820801,200
13,llama2-7b-chat-4k,hotpotqa,gpt,0.1,10.0,6.0,None,6.697616414251489,200
244,llama2-7b-chat-4k,lcc,old,0.5,5.0,6.0,hard,6.831935882568359,200
50,llama2-7b-chat-4k,lcc,old,0.5,2.0,6.0,hard,6.831935882568359,200
353,llama2-7b-chat-4k,konwledge_memorization,old,0.25,10.0,6.0,soft,6.861550807952881,200
19,llama2-7b-chat-4k,hotpotqa,old,0.25,15.0,6.0,hard,6.936678409576416,200
75,llama2-7b-chat-4k,multi_news,old,0.1,5.0,6.0,soft,6.996438503265381,200
170,llama2-7b-chat-4k,qmsum,gpt,0.1,5.0,6.0,None,7.008187131983635,200
80,llama2-7b-chat-4k,qmsum,old,0.1,5.0,6.0,soft,7.050725936889648,200
89,llama2-7b-chat-4k,konwledge_memorization,v2,0.25,10.0,6.0,None,7.11672830581665,200
11,llama2-7b-chat-4k,konwledge_understanding,gpt,0.1,10.0,6.0,None,7.122941105287212,200
171,llama2-7b-chat-4k,multi_news,v2,0.5,5.0,6.0,None,7.219702243804932,200
356,llama2-7b-chat-4k,konwledge_understanding,old,0.1,10.0,6.0,soft,7.411325931549072,199
321,llama2-7b-chat-4k,finance_qa,old,0.5,5.0,6.0,soft,7.4581828117370605,200
331,llama2-7b-chat-4k,qmsum,old,0.25,5.0,6.0,soft,7.724550247192383,200
174,llama2-7b-chat-4k,finance_qa,v2,0.5,5.0,6.0,None,7.787564277648926,200
76,llama2-7b-chat-4k,lcc,old,0.1,5.0,6.0,soft,7.871485710144043,200
177,llama2-7b-chat-4k,longform_qa,v2,0.5,5.0,6.0,None,7.955317497253418,200
191,llama2-7b-chat-4k,konwledge_memorization,gpt,0.25,15.0,6.0,None,7.959710849308992,200
69,llama2-7b-chat-4k,longform_qa,gpt,0.5,5.0,6.0,None,8.085059966936395,200
78,llama2-7b-chat-4k,alpacafarm,old,0.1,5.0,6.0,soft,8.260191917419434,805
4,llama2-7b-chat-4k,lcc,gpt,0.25,10.0,6.0,None,8.304531562887073,198
96,llama2-7b-chat-4k,alpacafarm,v2,0.1,5.0,6.0,None,8.519168853759766,805
187,llama2-7b-chat-4k,finance_qa,gpt,0.25,5.0,6.0,None,8.5320129342195,200
27,llama2-7b-chat-4k,alpacafarm,old,0.75,5.0,6.0,hard,8.646413803100586,805
74,llama2-7b-chat-4k,finance_qa,old,0.1,5.0,6.0,soft,8.796927452087402,200
299,llama2-7b-chat-4k,alpacafarm,v2,0.25,5.0,6.0,None,8.993653297424316,805
92,llama2-7b-chat-4k,finance_qa,v2,0.1,5.0,6.0,None,9.028016090393066,200
93,llama2-7b-chat-4k,multi_news,v2,0.1,5.0,6.0,None,9.028478622436523,200
35,llama2-7b-chat-4k,multi_news,old,0.75,5.0,6.0,hard,9.072906494140625,200
251,llama2-7b-chat-4k,qmsum,old,0.5,5.0,6.0,hard,9.078527450561523,200
49,llama2-7b-chat-4k,qmsum,old,0.5,2.0,6.0,hard,9.078527450561523,200
94,llama2-7b-chat-4k,lcc,v2,0.1,5.0,6.0,None,9.159610748291016,199
107,llama2-7b-chat-4k,konwledge_memorization,old,0.25,10.0,6.0,hard,9.172292709350586,200
55,llama2-7b-chat-4k,konwledge_memorization,old,0.25,5.0,6.0,hard,9.172292709350586,200
227,llama2-7b-chat-4k,konwledge_memorization,old,0.25,15.0,6.0,soft,9.178715705871582,200
335,llama2-7b-chat-4k,alpacafarm,old,0.25,5.0,6.0,soft,9.231043815612793,805
284,llama2-7b-chat-4k,konwledge_memorization,old,0.25,2.0,6.0,hard,9.285404205322266,200
338,llama2-7b-chat-4k,konwledge_memorization,v2,0.25,15.0,6.0,None,9.314014434814453,200
188,llama2-7b-chat-4k,alpacafarm,gpt,0.25,5.0,6.0,None,9.375017371155826,805
324,llama2-7b-chat-4k,longform_qa,old,0.5,5.0,6.0,soft,9.396136283874512,200
20,llama2-7b-chat-4k,konwledge_memorization,old,0.25,15.0,6.0,hard,9.426682472229004,200
30,llama2-7b-chat-4k,finance_qa,old,0.75,5.0,6.0,hard,9.696044921875,200
33,llama2-7b-chat-4k,longform_qa,old,0.75,5.0,6.0,hard,9.812041282653809,200
189,llama2-7b-chat-4k,lcc,gpt,0.25,15.0,6.0,None,9.813031769394064,195
150,llama2-7b-chat-4k,lcc,old,0.25,2.0,6.0,soft,10.053548812866211,200
294,llama2-7b-chat-4k,multi_news,v2,0.25,5.0,6.0,None,10.097030639648438,200
334,llama2-7b-chat-4k,finance_qa,old,0.25,5.0,6.0,soft,10.50021743774414,200
298,llama2-7b-chat-4k,finance_qa,v2,0.25,5.0,6.0,None,10.505478858947754,200
359,llama2-7b-chat-4k,konwledge_memorization,old,0.1,10.0,6.0,soft,10.674783706665039,200
14,llama2-7b-chat-4k,konwledge_memorization,gpt,0.1,10.0,6.0,None,11.198834315569714,200
349,llama2-7b-chat-4k,lcc,old,0.25,10.0,6.0,soft,11.217414855957031,200
330,llama2-7b-chat-4k,multi_news,old,0.25,5.0,6.0,soft,11.282217979431152,200
203,llama2-7b-chat-4k,konwledge_memorization,v2,0.1,10.0,6.0,None,11.343017578125,200
85,llama2-7b-chat-4k,lcc,v2,0.25,10.0,6.0,None,11.352439880371094,200
103,llama2-7b-chat-4k,lcc,old,0.25,10.0,6.0,hard,11.513400077819824,200
60,llama2-7b-chat-4k,lcc,old,0.25,5.0,6.0,hard,11.513400077819824,200
164,llama2-7b-chat-4k,finance_qa,gpt,0.1,5.0,6.0,None,11.529069033537972,200
280,llama2-7b-chat-4k,konwledge_understanding,old,0.1,5.0,6.0,hard,11.710285186767578,200
311,llama2-7b-chat-4k,konwledge_understanding,old,0.1,10.0,6.0,hard,11.710285186767578,200
18,llama2-7b-chat-4k,lcc,old,0.25,15.0,6.0,hard,11.739851951599121,200
225,llama2-7b-chat-4k,lcc,old,0.25,15.0,6.0,soft,11.815605163574219,200
183,llama2-7b-chat-4k,multi_news,gpt,0.25,5.0,6.0,None,11.842596971045477,200
91,llama2-7b-chat-4k,longform_qa,v2,0.1,5.0,6.0,None,11.849059104919434,200
336,llama2-7b-chat-4k,lcc,v2,0.25,15.0,6.0,None,11.954084396362305,200
166,llama2-7b-chat-4k,lcc,gpt,0.1,5.0,6.0,None,11.980278777271346,200
293,llama2-7b-chat-4k,longform_qa,v2,0.25,5.0,6.0,None,11.988005638122559,200
288,llama2-7b-chat-4k,lcc,old,0.25,2.0,6.0,hard,12.080599784851074,200
149,llama2-7b-chat-4k,qmsum,old,0.25,2.0,6.0,soft,12.398036003112793,200
168,llama2-7b-chat-4k,alpacafarm,gpt,0.1,5.0,6.0,None,12.973008359317811,805
329,llama2-7b-chat-4k,longform_qa,old,0.25,5.0,6.0,soft,13.35873794555664,200
73,llama2-7b-chat-4k,longform_qa,old,0.1,5.0,6.0,soft,13.592995643615723,200
313,llama2-7b-chat-4k,hotpotqa,old,0.1,10.0,6.0,hard,13.62162971496582,200
273,llama2-7b-chat-4k,hotpotqa,old,0.1,5.0,6.0,hard,13.62162971496582,200
182,llama2-7b-chat-4k,longform_qa,gpt,0.25,5.0,6.0,None,13.75099783083759,200
46,llama2-7b-chat-4k,alpacafarm,old,0.5,2.0,6.0,hard,15.366722106933594,805
248,llama2-7b-chat-4k,alpacafarm,old,0.5,5.0,6.0,hard,15.366722106933594,805
314,llama2-7b-chat-4k,konwledge_memorization,old,0.1,10.0,6.0,hard,16.212709426879883,200
278,llama2-7b-chat-4k,konwledge_memorization,old,0.1,5.0,6.0,hard,16.212709426879883,200
246,llama2-7b-chat-4k,finance_qa,old,0.5,5.0,6.0,hard,16.3532657623291,200
45,llama2-7b-chat-4k,finance_qa,old,0.5,2.0,6.0,hard,16.3532657623291,200
52,llama2-7b-chat-4k,multi_news,old,0.5,2.0,6.0,hard,16.846202850341797,200
243,llama2-7b-chat-4k,multi_news,old,0.5,5.0,6.0,hard,16.846202850341797,200
51,llama2-7b-chat-4k,longform_qa,old,0.5,2.0,6.0,hard,17.045988082885742,200
249,llama2-7b-chat-4k,longform_qa,old,0.5,5.0,6.0,hard,17.045988082885742,200
0,llama2-7b-chat-4k,qmsum,gpt,0.25,10.0,6.0,None,18.372594653683915,200
145,llama2-7b-chat-4k,alpacafarm,old,0.25,2.0,6.0,soft,18.68568992614746,805
199,llama2-7b-chat-4k,lcc,v2,0.1,10.0,6.0,None,19.714736938476562,200
355,llama2-7b-chat-4k,lcc,old,0.1,10.0,6.0,soft,20.252960205078125,200
310,llama2-7b-chat-4k,lcc,old,0.1,10.0,6.0,hard,20.445709228515625,200
