,model_name,ref_mode,det_mode,threshold,z_score,sum,false_positive,true_negative
17,llama2-7b-chat-4k,old_hard_g0.25_d5.0,gpt_g0.1_d10.0,4,-1.1192278453069517,2405,0.14511434511434512,0.8548856548856549
22,llama2-7b-chat-4k,old_hard_g0.5_d2.0,gpt_g0.25_d15.0,4,0.634512829843935,2399,0.15339724885368905,0.846602751146311
38,llama2-7b-chat-4k,gpt_g0.1_d10.0,v2_g0.25_d15.0,4,1.7942303405137467,2404,0.1772046589018303,0.8227953410981698
37,llama2-7b-chat-4k,gpt_g0.1_d10.0,old_soft_g0.25_d15.0,4,2.173470455334062,2405,0.1787941787941788,0.8212058212058212
45,llama2-7b-chat-4k,v2_g0.25_d15.0,gpt_g0.1_d10.0,4,-0.2649208659193868,2405,0.18087318087318088,0.8191268191268192
36,llama2-7b-chat-4k,gpt_g0.1_d10.0,old_hard_g0.25_d5.0,4,2.0459307004759695,2405,0.18253638253638255,0.8174636174636175
43,llama2-7b-chat-4k,old_soft_g0.25_d2.0,old_hard_g0.5_d2.0,4,7.261815084984793,2405,0.7218295218295219,0.2781704781704782
16,llama2-7b-chat-4k,old_hard_g0.25_d5.0,old_soft_g0.1_d10.0,4,21.47965370061592,2404,0.9009983361064892,0.09900166389351081
27,llama2-7b-chat-4k,old_soft_g0.25_d15.0,old_soft_g0.1_d10.0,4,21.47965370061592,2404,0.9009983361064892,0.09900166389351081
9,llama2-7b-chat-4k,old_soft_g0.1_d10.0,old_soft_g0.25_d15.0,4,13.948763373487953,2405,0.9064449064449065,0.09355509355509356
8,llama2-7b-chat-4k,old_soft_g0.1_d10.0,old_hard_g0.25_d5.0,4,14.052153196751204,2405,0.9130977130977131,0.08690228690228691
20,llama2-7b-chat-4k,old_hard_g0.25_d5.0,old_soft_g0.25_d15.0,4,22.992148659085533,2405,0.9667359667359667,0.033264033264033266
31,llama2-7b-chat-4k,old_soft_g0.25_d15.0,old_hard_g0.25_d5.0,4,23.099709968804817,2405,0.9725571725571726,0.027442827442827444
